# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	FAT SN106 nano-FTIR
# Description:	 	SiO2 Spectrum B with Si reference
# Date:	 	01/18/2018 12:25:01
# Reference:	 	01/18/2018 12:22:16 Si Reference Spectrum B
# Scanner Center Position (X, Y):	[µm]	53.78	46.04	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	4	 	 
# Integration time:	[ms]	10	 	 
# Laser Source:	 	
# Target Wavelength:	[µm]	10.000	 	 
# Demodulation Mode:	 	0
# Tip Frequency:	[Hz]	260,752.434	 	 
# Tip Amplitude:	[mV]	74.500	 	 
# Tapping Amplitude:	[nm]	75.627	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	80.15	 	 
# Regulator (P, I, D):	 	5.666896	11.826090	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	44.147	 	 
# Mirror Motor Position (X, Y, Z):	[µm]	-1.15	1.07	-0.08
# Version:	 	1.7.3630.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	48	100.3656007	0	0	0.9660957	-0.07609274	0.334888	-0.4904957	1.033327	0.9210257	1.534118	0.7852657	0	0	
0	0	49	102.456550714583	0	0	0.9999089	-0.05325257	0.2631812	0.1657671	1.06512	1.126934	0.7505623	0.4598794	0	0	
0	0	50	104.547500729167	0	0	0	0	0.4332518	0.7414353	1.14481	1.227628	0.6841173	-0.8770364	0	0	
0	0	51	106.63845074375	0	0	0	0	0.7098942	0.8285976	1.229493	1.241494	1.609458	-1.271869	0	0	
0	0	52	108.729400758333	0	0	0	0	0	0	1.292693	1.191672	2.609188	-1.203269	0	0	
0	0	53	110.820350772917	0	0	0	0	0	0	1.329813	1.089532	3.08094	-1.08811	0	0	
0	0	54	112.9113007875	0	0	0.6894567	0.1129864	0	0	1.35376	0.9431602	2.835924	-1.103012	0	0	
0	0	55	115.002250802083	0	0	0.618289	0.08248147	0	0	1.373232	0.7771914	2.109271	-1.315892	0	0	
0	0	56	117.093200816667	0	0	0.5844646	0.04827872	0	0	1.357923	0.6223325	1.208691	-1.790804	0	0	
0	0	57	119.18415083125	0	0	0.5872615	0.03142547	0	0	1.267203	0.4878199	0.6657014	-2.898712	0	0	
0	0	58	121.275100845833	0	0	0.6229205	0.04322552	0	0	1.096161	0.3726763	0.95564	2.348895	0	0	
0	0	59	123.366050860417	0	0	0.6870714	0.08406791	1.360675	-0.6856669	0.8653425	0.2791132	1.399051	2.03192	0	0	
0	0	60	125.457000875	0	0	0.7723102	0.1468875	1.32248	-0.681937	0.5961193	0.2109038	1.679254	1.983808	0	0	
0	0	61	127.547950889583	0	0	0.8633887	0.2181616	1.223879	-0.6564502	0.3001663	0.1701926	1.657193	2.028937	0	0	
0	0	62	129.638900904167	0	0	0	0	1.090382	-0.6006716	0.01772648	-2.898015	1.390704	2.017338	0	0	
0	0	63	131.72985091875	0	0	0	0	0.9501064	-0.4939934	0.3440021	-2.941945	1.060156	1.867209	0	0	
0	0	64	133.820800933333	0	0	0	0	0.8377644	-0.3209823	0	0	0.6914833	1.523488	0	0	
0	0	65	135.911750947917	0	0	0	0	0.7784549	-0.1001911	0	0	0.1923444	0.6267589	0	0	
0	0	66	138.0027009625	0	0	0	0	0.7659786	0.1211946	0	0	0.3816191	-2.407561	0	0	
0	0	67	140.093650977083	0	0	0.8889267	-0.1753377	0.7722318	0.312052	0	0	0.6119336	-2.945158	0	0	
0	0	68	142.184600991667	0	0	0.8847505	-0.2942013	0.7729268	0.4638987	0	0	0.6506336	3.114403	0	0	
0	0	69	144.27555100625	0	0	0.9013035	-0.3551496	0.7615863	0.5688499	0	0	0.6302184	3.061548	0	0	
0	0	70	146.366501020833	0	0	0	0	0.7544516	0.6203965	0	0	0.6130268	3.133786	0	0	
0	0	71	148.457451035417	0	0	0	0	0.7772738	0.6402809	0	0	0.6432512	-3.00155	0	0	
0	0	72	150.54840105	0	0	0	0	0.8342757	0.6743637	0	0	0.7423684	-2.865362	0	0	
0	0	73	152.639351064583	0	0	0	0	0.9030054	0.7482353	0	0	0.895477	-2.792889	0	0	
0	0	74	154.730301079167	0	0	0	0	0.9557001	0.859916	0	0	1.088409	-2.763086	0	0	
0	0	75	156.82125109375	0	0	0	0	0.97335	0.9978158	0.2703112	-2.577313	0	0	0	0	
0	0	76	158.912201108333	0	0	0	0	0.9507864	1.145643	0.3347895	-2.774455	0	0	0	0	
0	0	77	161.003151122917	0	0	0	0	0.8953614	1.277201	0.2357412	2.842791	0.926749	-2.537586	0	0	
0	0	78	163.0941011375	0	0	0	0	0.8188308	1.355287	0.2395567	1.382729	0.935419	-2.628914	0	0	
0	0	79	165.185051152083	0	0	0	0	0.7350354	1.339243	0.4690903	0.5848041	0.8977227	-2.670269	0	0	
0	0	80	167.276001166667	0	0	0	0	0.6681881	1.195098	0.7304634	0.214541	0.8066118	-2.734659	0	0	
0	0	81	169.36695118125	0	0	0	0	0.6568832	0.9237213	0.9963591	-0.02332499	0.6654524	-2.909394	0	0	
0	0	82	171.457901195833	0	0	0	0	0.7339903	0.5983818	1.305602	-0.1950133	0.5311332	2.847283	0	0	
0	0	83	173.548851210417	0	0	0	0	0.8935091	0.3040502	1.765613	-0.3078668	0.7689394	1.850587	0	0	
0	0	84	175.639801225	0	0	0	0	1.090753	0.05969076	0	0	1.990879	1.058747	0	0	
0	0	85	177.730751239583	0	0	0	0	1.261055	-0.1439691	0	0	0	0	0	0	
0	0	86	179.821701254167	0	0	0	0	1.344438	-0.3016234	0	0	2.598439	-0.7359521	0	0	
0	0	87	181.91265126875	0	0	0.8654935	0.1740086	1.320075	-0.3947445	0.6579818	0.5225378	1.770779	-0.9180086	0	0	
0	0	88	184.003601283333	0	0	0.8436158	0.1235218	1.20989	-0.4121428	0.4902921	-0.3103351	1.161622	-0.8784318	0	0	
0	0	89	186.094551297917	0	0	0.8260224	0.05643018	1.049499	-0.3648082	0.5050809	-0.9269252	0.4404773	-0.5767716	0	0	
0	0	90	188.1855013125	0	0	0.8146151	-0.009160917	0.8742793	-0.2880532	0.5067269	-1.310111	0.5987172	2.84706	0	0	
